indice,palabras,insultos
41355,_isaacrosa,0
43075,_javierospina,0
29360,_johanng_,0
20076,_jorgeaguilera,0
36718,_jovenesderecha,0
29363,_julianbaron_,0
21537,_luisbladimir,0
15595,_mauro_sanchez,0
29390,_miguelp_,0
29365,_noalcomunismo,0
19513,_noel_pereira2,0
24122,_o,0
17023,_rau1_santos,0
29366,_rosemberg_,0
29367,_urizen_,0
29370,_vo80_,0
24421,_yo_opino,0
23773,0000osd,0
40610,0001mauricio,0
40611,001east,0
20725,0101shirley,0
3645,0124juan,0
39195,041121httpstco6eycgtuis8,0
40612,04elisabeth,0
40613,0504carlosjose,0
3647,0608_samuel,0
3650,07259e9ad8b64e4,0
40614,0911omar,0
37451,0el,0
40615,0es34,0
3652,0fantasma,0
35450,0rdb9,0
34054,0rt0,0
40630,1_618034,0
41102,1_conservadora,0
3658,100_escarlata,0
3666,100_espana,0
103,100lleno,0
6248,100pero,0
40926,100respeto,0
3672,1012benito,0
3675,102030jorge,0
3677,10ames10,0
35888,10ceorca,0
45247,10k,0
18605,10millones,0
3402,1130ampor,0
28546,11am,0
42909,1230pm,0
3690,12345dubalier,0
19710,12804mucho,0
17974,12anos,0
31910,12fb06a699cc4d0,0
3697,13ancari,0
40617,14_gatopardo,0
45083,140mil,0
8266,14eps,0
23024,15anos,0
33828,15mil,0
20156,15minhacienda,0
14883,15n,0
40618,15rams,0
40619,177segundos,0
40624,180_verdad,0
38099,18kmh,0
38750,1945cedemocratico,0
3702,1957_raul,0
40625,1957toto,0
3703,1961tokio,0
3710,1965visitador,0
40626,1968alzamendi,0
3724,1971javibernal,0
3729,1974bogotano,0
4249,1a,0
45121,1a0,0
13156,1acusamos,0
3425,1con,0
3734,1crespoconpecas,0
14224,1cuando,0
20505,1d1otas,0
8214,1er,0
20821,1ero,0
45287,1hr45min,0
5413,1httpstcotqtggvgkcf,0
3730,1joen,0
30358,1juez,0
33501,1na,0
39028,1o,0
26006,1prequeremos,0
16871,1que,0
3732,1quecuenta,0
3430,1ra,0
30234,1ro,0
40631,1roxralaeternid,0
20376,1x1,0
36831,2002a,0
19788,2007en,0
25271,2014para,0
37546,2014pesima,0
37213,2019sergio_fajardo,0
38813,2020el,0
38817,2020inside,0
40632,2020juanpis,0
38811,2020un,0
15324,2021a,0
31296,2021al,0
3740,2021colibri,0
4141,2021cuarto,0
37287,2021el,0
39994,2021falsos,0
41566,2021momento,0
31966,2021odebrechtq,0
22299,2022cabalimida,0
44167,2022ficogutierrez,0
22397,2022por,0
38140,2022su,0
40418,2022suerte,0
4614,2022union,0
37101,2022vamos,0
7716,20anos,0
36918,20anosjajjj,0
30760,20con,0
3744,20m,0
25845,20oiz,0
24717,20otra,0
25844,20santos,0
26104,20votos,0
5519,20wilsongarcia,0
3749,2174yapamo_,0
3476,21e,0
23087,22_26,0
1062,22ingrodolfohdez,0
26602,22millones,0
32751,22no,0
40633,249evelio,0
43152,24h,0
39461,24horas,0
20155,25ano,0
23080,25mil,0
7334,25millones,0
20018,27_cordero,0
40634,28_yoe,0
3750,2960rdu,0
13655,2a,0
3443,2alvarouribevel,0
40635,2arrojas,0
21386,2c,0
10888,2da,0
20918,2dias,0
26096,2do,0
3449,2en,0
3757,2j2r2,0
20128,2manuel,0
19425,2mil,0
31674,2o,0
21346,2o22,0
44783,2pinturita,0
5012,2vec,0
15409,2x1000,0
23614,300cuanto,0
36395,30hjpts,1
3761,330225carlos,0
40636,34colombianita,0
41876,34y,0
39029,3a,0
25930,3anos,0
2794,3er,0
15021,3hpta,0
18412,3l,0
28609,3lmprkncipio,0
40640,3lo_cota,0
40210,3m,0
40638,3primeroh,0
28024,3ra,0
3767,3rr0r23757028,0
13684,4000congreso,0
18413,400el,0
25165,40veces,0
40641,40willywe,0
34202,414anael,0
3772,42hugote,0
37392,441388petroleo,0
37397,443529petroleo,0
37387,447429petroleo,0
37369,449131oil,0
37376,450501oil,0
18539,453sin0,0
16414,455osmen,0
3776,472colombia,0
18916,47up3uj1h,0
17054,48636363636hp,0
35129,4horas,0
40643,4life8777242,0
3779,4m4ur15,0
40644,4ndres_skate,0
39078,4pm,0
36849,4r,0
34666,4to,0
8374,4xmil,0
37464,4yoalejov,0
26603,5000mil,0
22300,500mg,0
42669,50anos,0
15328,50de,0
4769,50k,0
40645,51nubeazul,0
3781,55luisalberto,0
27640,56quienes,0
3787,5712olgacval,0
40649,58marceca,0
40650,59c05830cba1483,0
3542,5aqui,0
17843,5k,0
40651,5meraki,0
40652,5nachthexen,0
34029,5o,0
12748,5to,0
40653,5valenz745,0
17844,600k,0
38100,60kmh,0
12157,62011250username,0
40654,63geminnis,0
37353,6402crimenes,0
24895,6402de,0
3583,6402e,0
11434,6402nunca,0
44999,6402o,0
45020,6402r,0
8676,6402razones,0
36840,6402s,0
3789,666berm,0
29552,66javier66,0
39797,6am,0
3804,6amcaracol,0
45122,6asistencia,0
40655,6jjleconde6,0
3597,6los,0
31660,6menciona,0
12058,6si,0
14833,70hjpta,1
28728,70hp,1
26024,70hpta,1
9548,70k,0
8271,70mil,0
3811,71juancor,0
37455,724noticiascol,0
3816,729zander,0
15346,771david,0
40656,777pelao,0
40657,78ernes,0
3819,78juankavl,0
40658,78nobita,0
35318,7a,0
3865,7iggo,0
19677,7ma,0
3821,7marcofidelr,0
31943,7millones,0
14276,7n,0
28723,7nico,0
40661,7nnoticias,0
40662,81arielfernando,0
40663,82ljra,0
2759,830am,0
3867,8409dario,0
3870,86oscar_arias,0
3875,87_mml,0
26366,8757289f,0
40665,88masada,0
3886,8b815f67d50b419,0
21357,8billibes,0
21910,8m,0
38127,8mil,0
26478,900am,0
3890,90juanlot,0
33091,90un,0
3892,9108laura,0
28057,93millones,0
21641,95en,0
3896,96antonior,0
12158,96username,0
3899,977carlos,0
3901,999smarv,0
40666,9soro,0
17,a,0
40707,a_arango5,0
27160,a_arevalosilva,0
29396,a_brahiam,0
29400,a_cotes,0
40708,a_dark_type,0
4549,a_kropot,0
4551,a_ordonezm,0
4561,a_votar_en_2022,0
5467,a1,0
29393,a1000lapila,0
12765,a19419,0
12573,a3noticias,0
27115,aaaa,0
6560,aaaaa,0
18259,aaaaaaa,0
31914,aaaaay,0
23802,aaaah,0
7591,aaayyy,0
3908,aabenedetti,0
4562,aafanadorcamilo,0
27047,aah,0
32469,aahh,0
14239,aalejandro,0
3909,aanf1984,0
14358,aaq208,0
29402,aarangob11,0
27515,aarauz08,0
43078,aarboledam,0
35900,aawwwwwww,0
40029,ab0rt0,0
4565,abadcolorado,0
18181,abadia,0
29404,abadia_liz,0
887,abajo,0
25603,abajorecuerda,0
35995,abalar,0
27595,abandona,0
24996,abandonada,0
6920,abandonadas,0
25327,abandonado,0
35117,abandonamos,0
40373,abandonan,0
37553,abandonando,0
10355,abandonar,0
28710,abandone,0
